Site,RMSE,SSIM,R2
ABBY,0.007032206119411887,0.9489567970713801,0.9627359050628659
SJER,0.01688278926465131,0.9351930180076174,0.949184742024524
JORN,0.0008433378213865183,0.926338298013854,0.9256591715646935
NOGP,0.017139448320320754,0.9596523929660601,0.9738249352501633
LENO,0.012450742895521557,0.9648684672086932,0.9786400386115739
MCDI,0.016291191030581888,0.9457539553937152,0.9558138031134918
UNDE,0.009224025016362575,0.976940770792212,0.9698992383425172
STEI,0.007883795109696423,0.9835449466011705,0.9802252960273523
SERC,0.011308644287403177,0.9416090154346467,0.9417911144978889
HOPB,0.006561412003469226,0.9314569106261095,0.9307954311294154
