Site,RMSE,SSIM,R2
ABBY,1.578769901833167,0.5332638025120734,-7.365999304741818
SJER,0.10495313935148066,0.6385721138832611,0.6841030964801464
JORN,0.009739619108399461,0.6281903053250827,0.14144565226262884
NOGP,0.39517653151968174,0.618198006240628,0.3964933347428793
LENO,0.16089960238785983,0.6405371130779764,0.5982064775488893
MCDI,0.0990932362103065,0.6849855418829853,0.7290700201702822
UNDE,0.04206612608015825,0.8665202911827442,0.804804094097809
STEI,0.07547274269402471,0.8339358714655566,0.804063741632753
SERC,1.7408280539547598,0.6557638315261745,-7.960548965572297
HOPB,1.5137464477794051,0.576701232210773,-14.965796728290133
