Site,RMSE,SSIM,R2
ABBY,6.374730895977431,0.28433777236372343,-32.7800930849637
SJER,1.1162585048702354,0.7445056977699216,-2.3598099818176994
JORN,0.05156643928561777,0.37250752171034696,-3.5456182786266837
NOGP,0.3106774512813492,0.6809666796692811,0.5255388474807481
LENO,1.6640537895596852,0.6872360100744711,-3.45303020221447
MCDI,1.8545356627481357,0.6838108613137903,-4.108671843648983
UNDE,2.2054097654762352,0.5672281368776374,-9.693569866607257
STEI,3.041820610568506,0.6432545561720783,-6.896929776030975
SERC,6.015373731639925,0.45787372740943294,-30.25063831249521
HOPB,9.371044404401433,0.3055530582103274,-97.83834265106542
