Site,RMSE,SSIM,R2
ABBY,1.5296022132069762,0.6335994954402192,-7.105456683309237
SJER,0.0301967532923738,0.9020863856861845,0.9091112384026152
JORN,0.008279766674155304,0.7080835049704893,0.27013268206592
NOGP,0.4063625308561121,0.6291209796565679,0.37941027282334505
LENO,0.06289989123321657,0.8549763866662713,0.8316790495987316
MCDI,0.06177756486794065,0.824110162951423,0.8298219265611886
UNDE,0.03510162075340566,0.8891132583812034,0.829799595597311
STEI,0.02539038568728826,0.9430978186089943,0.9340835248264744
SERC,1.7323003790118754,0.6939655868741953,-7.999522724307928
HOPB,1.500797431624386,0.6549390940244078,-14.82922077789523
