Site,RMSE,SSIM,R2
ABBY,1.3884640647975608,0.4127628222503074,-6.357556910141094
SJER,0.03549265254584869,0.946279750199713,0.8931711894830379
JORN,0.07239318277375836,0.5474065528978134,-5.381510521633762
NOGP,0.04460212318448814,0.9446836203953056,0.9318844200516064
LENO,0.25752319777612054,0.8376871087349625,0.5582042286729314
MCDI,0.13856515046102644,0.9465037448835435,0.624173149256795
UNDE,0.4269762436902126,0.7698367588892022,-0.39335161406517805
STEI,0.33360290931996767,0.8375877532703836,0.16323310227801857
SERC,1.130449447762966,0.505318997287872,-4.818752522268039
HOPB,2.286035049831537,0.47615553836693364,-23.111284272804287
