Site,RMSE,SSIM,R2
ABBY,1.5595835603770134,0.5615601264084711,-7.264329695322269
SJER,0.10419957697909327,0.7092073346814645,0.6863712327314028
JORN,0.00848800750212172,0.6660996092675064,0.2517761050543189
NOGP,0.2916000356776403,0.8264267960906844,0.5546735418626312
LENO,0.14768968260884371,0.6499068934886291,0.6066799768093117
MCDI,0.05177581577282225,0.8450846350211053,0.8577397520507347
UNDE,0.022446694434478352,0.9343631614554069,0.8909202044718078
STEI,0.0651758925472372,0.8630606051939818,0.8307955949974712
SERC,1.7133994245094357,0.6962788196824312,-7.819365821926938
HOPB,1.525136266518849,0.6320479329223305,-15.085927501203123
