Site,RMSE,SSIM,R2
ABBY,0.02600999743668583,0.8941707443154483,0.8789869120364713
SJER,0.11531020988067399,0.8116132023273367,0.7668055173734254
JORN,0.008680003002343449,0.5860268248999305,0.5974559199401364
NOGP,0.1431129783467085,0.8694741274814223,0.8345225423197417
LENO,0.07995418523035014,0.9109188174057709,0.8862781553727525
MCDI,0.06800028654339577,0.8772872562961249,0.8375719082170703
UNDE,0.05023361312484234,0.8753633896414658,0.8563420266808071
STEI,0.04539852708280715,0.9154480918563032,0.8986216989825748
SERC,0.06800019564569218,0.846890153561764,0.7789237882794409
HOPB,0.032687835789447,0.779594038025618,0.7300888512800041
