Site,RMSE,SSIM,R2
ABBY,1.5469569015595612,0.5882198839651518,-6.513369361520852
SJER,0.13307884130899647,0.7764051131930109,0.7286170697023002
JORN,0.015141812987555047,0.4891492600497049,0.29778282589669236
NOGP,0.48418301475092346,0.7545038383399121,0.4414326263117958
LENO,0.12736874620091748,0.77377896352205,0.6932596666222411
MCDI,0.0979995818746766,0.8336781294551842,0.7659144411212093
UNDE,0.07031101063243099,0.7838103988791735,0.7067788228739715
STEI,0.09227534547885988,0.8167332207682891,0.7887755774759141
SERC,1.8456795811045161,0.6346519965374824,-5.486376223077575
HOPB,1.5329951526824308,0.5470487866992496,-11.658301556210196
