Site,RMSE,SSIM,R2
ABBY,6.500785273433321,0.24997346871508816,-30.573472311994667
SJER,1.2692315864465653,0.6929323886129296,-1.5882986639212766
JORN,0.05732240777627809,0.2678801896826609,-1.6583857054990014
NOGP,0.2868990655960629,0.8380763350217204,0.6690250324744853
LENO,1.8977973268446284,0.6097792226614898,-3.5704382125381064
MCDI,1.9815835058195146,0.7228568356856974,-3.7332863421595617
UNDE,2.2660325847891363,0.5543629494120038,-8.45013783675199
STEI,3.339308685005815,0.5519762139530637,-6.643900382704186
SERC,6.541919535342069,0.40937188595997975,-21.99063811603527
HOPB,9.521350512528322,0.2570590167874178,-77.6200307281254
