Site,RMSE,SSIM,R2
ABBY,1.5422953383210836,0.4288162078950845,-6.175622446573022
SJER,0.048423228008865234,0.9455353813891462,0.9020725951819768
JORN,0.07260943973581596,0.5541355140356884,-2.367337559010632
NOGP,0.08383976861797683,0.9312241974217009,0.9030584652511846
LENO,0.305974995230441,0.8646436448589467,0.5648002569575226
MCDI,0.15940855404080714,0.946854000937001,0.6192306155915894
UNDE,0.4927508622914734,0.7499508241002047,-0.4091678026853054
STEI,0.3577647274933294,0.8242055720697471,0.20108464816314608
SERC,1.4305631182078395,0.5063892382930831,-3.6509200715891597
HOPB,2.4682687806563894,0.37379353408366556,-19.381075890981776
