Site,RMSE,SSIM,R2
ABBY,1.6057752923790798,0.5606378880764379,-6.7990426695695785
SJER,0.10471763820592843,0.8264508797834734,0.7864530587233325
JORN,0.01499549440589406,0.5305672052792229,0.3045685008364918
NOGP,0.4455887739035155,0.7867454466892135,0.4859560463675704
LENO,0.12417289979631763,0.7855885345373521,0.7009561779000133
MCDI,0.07033388440563165,0.8834224800206212,0.8319977868858344
UNDE,0.06127677312440519,0.8121665192929886,0.7444547107998034
STEI,0.08634147326274903,0.8300360122260328,0.8023586068937436
SERC,1.9702577702707071,0.6154136212592703,-5.924188404777104
HOPB,1.5600397511733919,0.5423752584865076,-11.881615167193369
